"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
"","","","","",592,"1.pres.p.not found"
"","","","","",593,"1.pres.p.not found"
"","","","","",595,"1.pres.p.not found"
"","","","","",596,"1.pres.p.not found"
"","","","","",597,"1.pres.p.not found"
"","","","","",598,"1.pres.p.not found"
"","","","","",599,"1.pres.p.not found + "
"","","","","",601,"-"
"","","","","",604,"1.pres.p.not found"
"","","","","",605,"1.pres.p.not found"
"","","","","",608,"-"
"","","","","",610,"1.posts.partner.not found"
"","","","","",611,"1.pres.p.not found"
"","","","","",612,"1.pres.p.not found"
"","","","","",613,"1.pres.p.not found + -"
"","","","","",614,"-"
"","","","","",616,"-"
"","","","","",617,"21 (a-uncertain partner)+1pres.p."
"","","","","",618,"-"
"","","17_L","","","",""
"","","112_L","","","",""
"","","18_L","","","",""
"","","15_L","","","",""
"","","14_L","","","",""
"","","33_L","","","",""
"","","113_L","","","",""
"","","23_L","","","",""
"","","13_L","","","",""
"","","128_L","","","",""
"","","109_L","","","",""
"","","122_L","","","",""
"","","34_L","","","",""
"","","116_L","","","",""
"","","29_L","","","",""
"","","127_L","","","",""
"","","126_L","","","",""
"","","24_L","","","",""
"","","30_L","","","",""
"","","123_L","","","",""
"","","35_L","","","",""
"","","41_L","","","",""
"","","114_L","","","",""
"","","25_L","","","",""
"","","36_L","","","",""
"","","26_L","","","",""
"","","124_L","","","",""
"","","31_L","","","",""
"","","40_L","","","",""
"","","115_L","","","",""
"","","37_L","","","",""
"","","105_L","","","",""
"","","103_L","","","",""
"","","101_L","","","",""
"","","103_R","","","",""
"","","104_R","","","",""
"","","105_R","","","",""
"","","32_R","","","",""
"","","114_R","","","",""
"","","124_R","","","",""
"","","31_R","","","",""
"","","123_R","","","",""
"","","26_R","","","",""
"","","40_R","","","",""
"","","25_R","","","",""
"","","109_R","","","",""
"","","30_R","","","",""
"","","36_R","","","",""
"","","42_R","","","",""
"","","28_R","","","",""
"","","24_R","","","",""
"","","39_R","","","",""
"","","35_R","","","",""
"","","110_R","","","",""
"","","34_R","","","",""
"","","13_R","","","",""
"","","22_R","","","",""
"","","23_R","","","",""
"","","33_R","","","",""
"","","38_R","","","",""
"","","14_R","","","",""
"","","118_R","","","",""
"","","18_R","","","",""
"","","21_R","","","",""
"","","120_R","","","",""
"","","15_R","","","",""
"","","17_R","","","",""
"","","119_R","","","",""
"","","121_R","","","",""
"","","N1_R","","","",""
"","","66_L","","","",""
"","","63_L","","","",""
"","","64_L","","","",""
"","","HN_L","","","",""
"","","159_L","","","",""
"","","T2_L","","","",""
"","","155_L","","","",""
"","","165_L","","","",""
"","","P1_L","","","",""
"","","163_L","","","",""
"","","53_L","","","",""
"","","167_L","","","",""
"","","169_L","","","",""
"","","262_L","","","",""
"","","253_L","","","",""
"","","258_L","","","",""
"","","232","","","",""
"","","254_L","","","",""
"","","230","","","",""
"","","255_L","","","",""
"","","257_L","","","",""
"","","204","","","",""
"","","220","","","",""
"","","255_R","","","",""
"","","223","","","",""
"","","228","","","",""
"","","224","","","",""
"","","257_R","","","",""
"","","254_R","","","",""
"","","169_R","","","",""
"","","259_R","","","",""
"","","166_R","","","",""
"","","164_R","","","",""
"","","163_R","","","",""
"","","165_R","","","",""
"","","T2_R","","","",""
"","","159_R","","","",""
"","","157_R","","","",""
"","","P1_R","","","",""
"","","162_R","","","",""
"","","161_R","","","",""
"","","64_R","","","",""
"","","T3_R","","","",""
"","","65_R","","","",""
"","","67_R","","","",""
