"phi","r","g","b"
0.944,0.0937083,1,1.06124e-16
0.945,0.0896834,1,0.000524715
0.946,0.0861323,1,0.00176819
0.947,0.0824516,1,0.00301166
0.948,0.0786274,1,0.00425514
0.949,0.0746435,1,0.00549861
0.95,0.0704804,1,0.00674209
0.951,0.0661144,1,0.00798556
0.952,0.061516,1,0.00922904
0.953,0.0566484,1,0.0104725
0.954,0.0514639,1,0.011716
0.955,0.0458994,1,0.0129595
0.956,0.0398608,1,0.0142029
0.957,0.033506,1,0.0154464
0.958,0.0271511,1,0.0166899
0.959,0.0207963,1,0.0179334
0.96,0.0144414,1,0.0191768
0.961,0.00808654,1,0.0204203
0.962,0.00173168,1,0.0216638
0.963,0.00115938,1,0.0288686
0.964,0.00108946,1,0.0365913
0.965,0.00101954,1,0.0441484
0.966,0.000949626,1,0.0510122
0.967,0.000879707,1,0.0573042
0.968,0.000809788,1,0.0631378
0.969,0.00073987,1,0.0685936
0.97,0.000669951,1,0.0737315
0.971,0.000600032,1,0.0785972
0.972,0.000530113,1,0.0832267
0.973,0.000460195,1,0.0876486
0.974,0.000390276,1,0.0918866
0.975,0.000320357,1,0.0959599
0.976,0.000250438,1,0.0998849
0.977,0.000180519,1,0.103675
0.978,0.000110601,1,0.107343
0.979,4.06818e-05,1,0.110898
0.98,0,1,0.114494
